timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
MQTT --- 2021/10/24__10:47:26, 12.40, 72.74, 1007.86, 0.00, 181, 
MQTT --- 2021/10/24__10:47:27, 12.67, 72.69, 1007.91, 0.00, 180, 
MQTT --- 2021/10/24__10:47:28, 12.69, 72.63, 1007.90, 0.00, 180, 
MQTT --- 2021/10/24__10:47:29, 12.69, 72.58, 1007.91, 0.00, 180, 
MQTT --- 2021/10/24__10:47:30, 12.70, 72.54, 1007.90, 0.00, 180, 
MQTT --- 2021/10/24__10:47:31, 12.70, 72.52, 1007.89, 4.92, 180, 
MQTT --- 2021/10/24__10:47:32, 12.71, 72.48, 1007.92, 4.69, 180, 
MQTT --- 2021/10/24__10:47:33, 12.71, 72.46, 1007.91, 4.03, 180, 
MQTT --- 2021/10/24__10:47:34, 12.71, 72.45, 1007.91, 3.37, 180, 
MQTT --- 2021/10/24__10:47:35, 12.71, 72.44, 1007.89, 2.93, 180, 
MQTT --- 2021/10/24__10:47:36, 12.71, 72.45, 1007.90, 2.49, 180, 
MQTT --- 2021/10/24__10:47:37, 12.72, 72.45, 1007.89, 2.27, 180, 
MQTT --- 2021/10/24__10:47:38, 12.72, 72.45, 1007.91, 2.05, 180, 
MQTT --- 2021/10/24__10:47:39, 12.72, 72.46, 1007.94, 2.05, 180, 
MQTT --- 2021/10/24__10:47:40, 12.73, 72.43, 1007.91, 1.83, 180, 
MQTT --- 2021/10/24__10:47:41, 12.72, 72.42, 1007.91, 1.61, 185, 
MQTT --- 2021/10/24__10:47:42, 12.72, 72.42, 1007.93, 1.39, 180, 
MQTT --- 2021/10/24__10:47:43, 12.73, 72.42, 1007.92, 1.39, 180, 
MQTT --- 2021/10/24__10:47:44, 12.73, 72.41, 1007.90, 1.17, 180, 
MQTT --- 2021/10/24__10:47:45, 12.73, 72.44, 1007.94, 1.17, 180, 
MQTT --- 2021/10/24__10:47:46, 12.74, 72.37, 1007.94, 0.95, 180, 
MQTT --- 2021/10/24__10:47:47, 12.74, 72.37, 1007.94, 0.73, 180, 
MQTT --- 2021/10/24__10:47:48, 12.73, 72.34, 1007.92, 0.95, 180, 
MQTT --- 2021/10/24__10:47:49, 12.74, 72.33, 1007.93, 0.73, 180, 
MQTT --- 2021/10/24__10:47:50, 12.73, 72.32, 1007.95, 0.73, 180, 
MQTT --- 2021/10/24__10:47:51, 12.73, 72.30, 1007.95, 0.51, 180, 
MQTT --- 2021/10/24__10:47:52, 12.74, 72.30, 1007.95, 0.29, 180, 
MQTT --- 2021/10/24__10:47:53, 12.74, 72.28, 1007.96, 0.51, 180, 
